,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
169,"Train Wreck","James Arthur",737369,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
170,"Come & Go (with Marshmello)","Juice WRLD",736298,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
171,"Every Breath You Take","The Police",729034,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
172,"Wishing Well","Juice WRLD",725780,https://open.spotify.com/track/2U5WueTLIK5WJLD7mvDODv
173,"Godzilla (feat. Juice WRLD)",Eminem,721436,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
174,"SICKO MODE","Travis Scott",720582,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
175,Falling,"Trevor Daniel",718858,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
176,willow,"Taylor Swift",717614,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
177,"Mr. Brightside","The Killers",716177,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
178,Robbery,"Juice WRLD",715662,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
179,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",714923,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
180,"Smells Like Teen Spirit",Nirvana,710258,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
181,PROBLEMA,"Daddy Yankee",708783,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
182,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,708530,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
183,"Why'd You Only Call Me When You're High?","Arctic Monkeys",705753,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
184,"Fan de Tus Fotos","Nicky Jam",705512,https://open.spotify.com/track/1mauYRwbpoGQX6itP2FAJC
185,"The Real Slim Shady",Eminem,702849,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
186,"Good Without","Mimi Webb",701139,https://open.spotify.com/track/15OCqNPYoLziEAsbVnqRj5
187,"everything i wanted","Billie Eilish",698539,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
188,"All Girls Are The Same","Juice WRLD",695814,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1
189,"Mi Niña",Wisin,695697,https://open.spotify.com/track/2bgcUk2A3jjKbCJ7KPquTi
190,"Stressed Out","Twenty One Pilots",695339,https://open.spotify.com/track/3CRDbSIZ4r5MsZ0YwxuEkn
191,"When I Was Your Man","Bruno Mars",695324,https://open.spotify.com/track/0B7wvvmu9EISAwZnOpjhNI
192,"Wake Me Up",Avicii,694593,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
193,SAD!,XXXTENTACION,694158,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
194,"Something Just Like This","The Chainsmokers",694054,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
195,"hot girl bummer",blackbear,693586,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9
196,Afterglow,"Ed Sheeran",690216,https://open.spotify.com/track/0E4Y1XIbs8GrAT1YqVy6dq
197,"POPSTAR (feat. Drake)","DJ Khaled",684429,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
198,"Take You Dancing","Jason Derulo",681278,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
199,"Without Me",Halsey,679782,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
200,Payphone,"Maroon 5",678990,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
